ID_film,username,judul_film,rating_film,teks_review
F1234,eloco,itsgodzila,8,Bagus cukup menarik bahagia
avngrs,dseva,The Avengers,9,interesting
endgme,eloco,Avengers: Endgame,7,the quality is good
F1234,mirc,itsgodzila,5,nani? why no godzila here
endgme,noma,Avengers: Endgame,6,the graphic is more worse
F1234,palmo,itsgodzila,10,perfect! I love this movie
endgme,kiko,Avengers: Endgame,8,it's good but not really good
F9090,user9028,monkaGIGA,9,my name is
F1234,user9090,itsgodzila,6,adfasdfasdfasdf
avngrs,user4040,The Avengers,10,yesss haloooo
F1234,user4040,itsgodzila,10,uno Perfectooo !
infwar,user5959,Avengers: Infinity War,8,it's really good !